latitude,longitude,NDVI,Temperature,Precipitation,Humidity,Windspeed,is_fire,Year,Month,Day
33.521526,-5.886164,3785.0,7.9444447,0.39,43.9,8.1,0.0,2016,12,17
28.412498,-9.167602,1116.0,28.666666,0.0,39.8,6.9,0.0,2016,10,20
35.09102,-5.9971814,3280.0,22.333332,0.0,62.9,8.0,1.0,2018,7,25
35.185734,-5.1180053,5459.0,27.166666,0.0,51.5,4.8,1.0,2020,8,14
27.93658,-9.395931,1126.0,21.722221,0.0,54.6,7.1,0.0,2021,6,3
33.220284,-6.0217333,4467.0,16.722221,0.0,45.4,5.0,0.0,2022,4,25
35.56745,-5.7837267,4547.0,26.666666,0.0,64.0,23.3,1.0,2020,9,5
34.600266,-2.347032,1479.0,20.666664,0.0,52.8,7.2,1.0,2021,6,23
35.545246,-5.400984,3223.0,21.11111,0.0,59.7,4.3,1.0,2015,10,3
35.416435,-5.9890413,2886.0,36.22222,0.0,44.2,11.6,1.0,2016,8,8
31.694214,-9.065195,1486.0,24.722221,0.0,63.6,13.2,0.0,2021,7,7
31.5377,-4.8620124,1185.0,15.833333,0.0,30.8,14.5,0.0,2019,4,22
35.78245,-5.9070125,5544.0,20.944443,0.0,51.4,10.5,1.0,2017,7,1
27.84979,-9.048876,1121.0,18.277779,0.0,47.5,12.0,0.0,2019,4,23
27.962662,-9.339506,1143.0,22.944447,0.0,61.4,11.1,0.0,2019,7,21
35.25698,-5.5582485,6631.0,28.5,0.0,9999.9,5.0,1.0,2020,8,26
34.13127,-5.356325,4569.0,13.722222,0.0,48.6,9.9,0.0,2022,3,21
31.54224,-7.8863783,2595.0,18.166664,0.0,46.6,3.5,0.0,2021,1,28
33.36995,-7.7542987,5075.0,11.611112,0.0,46.5,7.2,1.0,2016,3,11
33.913887,-5.497011,3725.0,16.944445,0.0,45.8,6.0,1.0,2013,6,19
32.39558,-6.526925,5462.0,28.277779,0.0,53.3,4.3,0.0,2020,6,21
33.36628,-7.749522,2253.0,14.111112,0.0,46.9,4.6,1.0,2017,11,17
34.01051,-5.3981967,3662.0,16.222221,0.08,54.8,5.1,0.0,2017,5,1
32.668503,-4.952318,1674.0,19.333336,0.0,36.1,3.6,1.0,2016,10,18
31.204445,-9.736914,2523.0,23.555555,0.0,66.4,5.2,0.0,2018,8,23
30.21615,-9.152513,1636.0,20.444447,0.0,50.9,5.3,1.0,2013,10,23
31.653154,-9.598209,4898.0,14.277778,99.99,49.0,6.4,0.0,2015,2,5
30.217548,-9.150471,1490.0,29.722221,0.0,50.2,8.2,1.0,2016,6,24
33.37055,-7.7513103,6835.0,14.111112,0.75,52.8,12.3,1.0,2017,2,13
28.377672,-11.268512,866.0,21.000002,0.0,61.9,16.6,0.0,2018,7,22
31.041147,-6.838881,1085.0,26.666666,0.0,38.9,5.6,0.0,2022,9,16
28.86767,-9.248213,833.0,20.222221,0.0,51.5,4.9,0.0,2022,4,15
31.980648,-8.908266,2526.0,13.166667,0.0,46.3,8.6,0.0,2014,12,9
27.686338,-11.06322,769.0,21.555557,0.0,61.4,18.5,0.0,2021,7,27
33.365723,-7.7501554,4950.0,11.999999,0.0,45.5,5.4,1.0,2016,3,3
31.757187,-6.951468,3064.0,26.499998,0.0,62.9,4.4,0.0,2015,8,4
32.190258,-3.2520316,963.0,24.333336,0.0,32.6,8.8,0.0,2020,5,13
35.32224,-5.4072433,4412.0,24.611113,0.0,59.6,10.6,1.0,2016,9,28
27.827354,-11.186277,872.0,20.944443,0.0,65.9,12.6,0.0,2017,7,19
35.80863,-5.487429,5010.0,21.777777,0.0,66.1,7.1,1.0,2019,10,12
35.292343,-5.5055866,6095.0,19.166666,0.0,33.7,5.4,1.0,2021,5,25
28.885132,-10.141105,1158.0,16.277779,0.0,54.4,4.5,0.0,2020,12,12
27.92249,-11.794806,1065.0,16.722221,0.02,55.0,21.2,0.0,2016,4,6
33.665844,-5.6685333,1917.0,19.555553,0.2,61.3,2.5,1.0,2018,9,9
33.99183,-5.3665533,3352.0,28.38889,0.0,62.3,4.0,1.0,2016,7,12
34.608105,-4.001649,3218.0,15.777778,0.0,45.5,3.3,1.0,2013,10,31
32.407703,-6.412023,4510.0,32.0,0.0,49.6,5.4,1.0,2015,7,1
35.133358,-5.3888116,5305.0,34.38889,0.0,43.1,4.5,1.0,2021,8,17
31.152128,-6.992558,1213.0,11.611112,0.0,16.4,3.4,0.0,2019,1,25
31.782951,-3.8459704,1307.0,23.38889,0.0,36.2,11.7,0.0,2019,10,22
35.23067,-5.510101,4861.0,31.222221,0.0,9999.9,3.8,1.0,2020,8,28
34.593727,-2.3457453,1659.0,22.166666,0.0,44.0,6.4,1.0,2016,6,20
35.90683,-5.4696045,5027.0,26.38889,0.0,68.5,5.0,1.0,2016,9,6
33.850067,-5.0285068,4187.0,16.444445,0.0,50.5,5.7,1.0,2021,1,30
34.997547,-3.6728213,2224.0,25.111109,0.0,69.6,7.3,1.0,2014,7,16
33.04354,-4.9046025,1701.0,21.11111,0.0,40.2,4.2,0.0,2016,10,4
33.367958,-7.750706,3923.0,17.888887,0.0,54.4,6.2,1.0,2016,4,24
33.94067,-1.7939633,1399.0,11.999999,0.0,49.9,5.6,0.0,2013,2,20
27.490192,-8.916972,1198.0,18.277779,0.0,47.8,4.1,0.0,2021,1,27
33.633408,-6.288184,2532.0,19.777779,0.0,57.9,5.9,1.0,2022,5,25
29.364182,-9.998864,1907.0,18.500002,0.0,56.4,5.5,0.0,2020,4,18
35.252472,-5.52098,6631.0,30.444445,0.0,9999.9,3.6,1.0,2020,8,27
35.003323,-4.8427267,4910.0,30.444445,0.0,9999.9,3.6,1.0,2020,8,27
34.1557,-5.4239497,2678.0,27.222221,0.0,50.0,7.2,1.0,2018,9,23
32.403397,-8.557741,2081.0,15.0,0.0,43.7,5.6,1.0,2013,12,10
33.36738,-7.750687,2301.0,26.222221,0.0,58.5,8.7,1.0,2020,9,24
32.579662,-4.624115,1215.0,15.944445,0.0,26.7,12.2,0.0,2020,3,4
34.597256,-2.3465211,1693.0,21.666666,0.0,50.0,7.3,1.0,2019,6,22
31.55302,-7.534474,3265.0,25.777779,0.0,59.5,5.5,0.0,2018,9,4
